구분,개별단독,개별아파트(개인),개별아파트(상업),상업개인,상업법인,공공기관,학교,아파트(단지) 가입자수,아파트(단지) 세대수,학교(단지),건물(단지),합계 (가입자수),합계 (세대수)
강원 강릉시,2340,2863,0,19,4,54,0,8,2414,0,0,5288,7694
강원 고성군,2339,116,0,7,0,5,0,0,0,0,0,2467,2467
강원 동해시,395,845,0,5,0,2,0,6,3217,0,0,1253,4464
강원 삼척시,530,1161,0,5,0,5,0,12,5381,0,0,1713,7082
강원 속초시,341,901,0,38,3,6,2,1,431,0,0,1292,1722
강원 양구군,616,373,0,3,0,1,0,5,1502,0,0,998,2495
강원 양양군,1103,109,0,5,2,0,0,0,0,0,0,1219,1219
강원 영월군,1165,219,0,1,1,175,2,0,0,0,0,1563,1563
강원 원주시,2141,6114,0,14,4,9,1,76,34917,1,1,8361,43202
강원 인제군,1499,266,0,23,1,1,0,0,0,0,0,1790,1790
강원 정선군,722,93,0,0,1,0,0,2,541,0,0,818,1357
강원 철원군,1324,779,0,4,0,3,0,1,332,0,0,2111,2442
강원 춘천시,868,2986,0,12,8,2,0,30,18941,0,1,3907,22818
강원 태백시,315,738,0,5,2,10,0,16,5787,0,1,1087,6858
강원 평창군,5037,28,0,2,0,2,0,2,1139,0,0,5071,6208
강원 홍천군,376,384,0,6,1,1,1,3,1830,0,0,772,2599
강원 화천군,350,152,0,7,1,1,0,0,0,0,0,511,511
강원 횡성군,1137,521,0,9,3,3,0,5,1273,0,0,1678,2946
경기 가평군,1689,309,0,3,0,3,0,5,1023,0,0,2009,3027
경기 고양시,1570,15157,1,17,9,3,52,47,42261,0,0,16856,59070
경기 과천시,989,2009,0,5,0,0,0,7,8381,0,1,3011,11385
경기 광명시,484,2026,0,11,3,3,17,22,26879,0,0,2566,29423
경기 광주시,1563,1329,1,21,0,8,3,20,7075,0,1,2946,10001
경기 구리시,307,1340,0,6,2,1,2,24,14416,4,0,1686,16078
경기 군포시,226,1377,1,7,5,1,0,21,14472,0,0,1638,16089
경기 김포시,891,4126,0,3,0,1,3,29,23271,0,1,5054,28296
경기 남양주시,1403,6516,22,22,3,24,32,14,8437,0,0,8036,16459
경기 동두천시,297,1150,0,3,1,4,0,2,772,0,0,1457,2227
경기 부천시,2559,5175,0,57,8,27,5,30,23264,1,0,7862,31096
경기 성남시,2528,7640,6,48,5,7,0,94,90037,35,1,10364,100307
경기 수원시,9236,21108,0,482,15,29,130,53,37764,2,6,31061,68772
경기 시흥시,348,1630,0,13,5,33,4,35,21202,0,0,2068,23235
경기 안산시,12828,22688,0,7,1,4,6,54,44864,23,22,35633,80443
경기 안성시,285,2085,0,6,4,0,1,12,5395,0,0,2393,7776
경기 안양시,2280,9513,0,72,10,61,1,32,21285,0,1,11970,33223
경기 양주시,601,1713,0,7,1,3,8,46,26076,1,1,2381,28411
경기 양평군,3344,1003,0,14,0,6,1,1,350,0,0,4369,4718
경기 여주시,511,700,0,1,0,0,1,3,1753,3,0,1219,2969
경기 연천군,133,85,0,2,2,3,1,4,968,0,0,230,1194
경기 오산시,323,3116,0,6,0,2,10,11,10475,0,0,3468,13932
경기 용인시,1284,10535,2,28,9,5,2,135,78342,22,3,12025,90232
경기 의왕시,187,1393,0,5,2,0,0,6,2941,0,0,1593,4528
경기 의정부시,836,3064,0,9,2,1,0,26,11363,0,0,3938,15275
경기 이천시,1807,3135,0,76,17,19,4,10,4242,0,3,5071,9303
경기 파주시,4748,18028,0,82,43,13,3,36,37175,0,1,22954,60093
경기 평택시,465,1800,0,19,5,5,0,31,20034,1,0,2326,22329
경기 포천시,330,435,0,7,4,0,3,4,979,0,0,783,1758
경기 하남시,173,1826,0,2,1,0,0,7,6897,0,0,2009,8899
경기 화성시,391,3071,0,10,8,1,42,78,52160,5,1,3607,55689
경남 거제시,643,2095,0,13,1,11,7,51,25928,5,0,2826,28703
경남 거창군,2180,1026,0,114,5,23,0,12,1369,0,0,3360,4717
경남 고성군,701,276,0,44,1,0,0,11,2311,0,0,1033,3333
경남 김해시,2631,27001,3,28,7,4,11,218,131369,0,0,29903,161054
경남 남해군,3943,273,0,25,1,4,0,6,934,0,0,4252,5180
경남 밀양시,5985,1805,0,1,3,8,0,17,7635,0,0,7819,15437
경남 사천시,901,1130,1,12,2,6,0,29,6254,0,0,2081,8306
경남 산청군,2943,13,0,5,0,0,0,3,401,0,0,2964,3362
경남 양산시,465,3492,0,10,6,10,1,24,20919,0,1,4009,24904
경남 의령군,3027,130,0,1,0,1,0,1,283,0,0,3160,3442
경남 진주시,1876,4300,27,119,5,4,14,64,35044,7,0,6416,41396
경남 창녕군,914,59,0,2,1,0,0,6,525,0,0,982,1501
경남 창원시 마산합포구,4929,10998,1,12,4,4,0,17,9546,0,0,15965,25494
경남 창원시 마산회원구,4344,10264,0,14,7,0,2,19,8366,0,0,14650,22997
경남 창원시 성산구,2297,23992,0,33,7,4,2,20,17413,0,1,26356,43749
경남 창원시 의창구,6503,14641,0,70,9,2,2,19,13467,0,0,21246,34694
경남 창원시 진해구,3439,13079,1,22,2,4,3,17,8550,0,0,16567,25100
경남 통영시,2487,2929,0,17,5,0,6,25,8651,0,0,5469,14095
경남 하동군,4408,129,0,3,0,1,0,1,173,0,0,4542,4714
경남 함안군,1010,815,0,2,2,1,0,6,4295,0,0,1836,6125
경남 함양군,2222,137,0,3,6,2,0,7,1484,0,0,2377,3854
경남 합천군,4271,66,0,5,3,4,0,0,0,0,0,4349,4349
경북 경산시,618,2302,0,9,6,3,1,14,10824,0,0,2953,13763
경북 경주시,1173,1024,0,8,3,7,1,23,11754,0,1,2240,13971
경북 고령군,1200,299,0,4,9,1,0,3,1260,0,0,1516,2773
경북 구미시,5158,19439,1,6,0,10,16,85,51923,1,2,24718,76556
경북 군위군,738,28,0,0,2,1,0,1,296,0,0,770,1065
경북 김천시,2531,1680,0,9,2,9,0,1,594,0,1,4233,4826
경북 문경시,1190,825,0,7,6,3,1,3,970,0,0,2035,3002
경북 봉화군,1611,165,0,3,3,37,0,0,0,0,0,1819,1819
경북 상주시,8539,639,0,3,4,30,0,21,6009,0,2,9238,15226
경북 성주군,4038,235,0,2,0,0,1,2,290,2,0,4280,4568
경북 안동시,2575,2744,0,9,3,3,4,17,6874,0,1,5356,12213
경북 영덕군,1466,16,0,0,1,3,0,4,347,0,0,1490,1833
경북 영양군,903,61,0,0,1,1,0,1,200,0,0,967,1166
경북 영주시,2596,1774,0,8,3,5,2,16,9363,0,0,4404,13751
경북 영천시,4493,1962,0,14,7,6,0,4,1961,0,1,6487,8444
경북 예천군,7147,100,0,1,2,7,0,3,682,0,0,7260,7939
경북 울릉군,132,1,0,1,0,0,0,0,0,0,0,134,134
경북 울진군,387,40,0,2,0,1,0,1,285,0,0,431,715
경북 의성군,974,114,0,10,3,112,4,4,871,0,0,1221,2088
경북 청도군,2039,41,0,2,1,4,0,2,294,0,0,2089,2381
경북 청송군,2135,63,0,0,1,2,0,0,0,0,0,2201,2201
경북 칠곡군,857,1827,0,83,18,3,0,6,3545,0,0,2794,6333
경북 포항시,6779,17133,0,261,19,0,56,32,17226,0,1,24281,41475
광주 광산구,15367,65755,1,148,5,1,71,68,46112,0,3,81419,127463
광주 남구,14718,40508,0,103,9,1,36,100,39532,0,0,55475,94907
광주 동구,15555,11752,0,32,1,1,16,11,4911,0,0,27368,32268
광주 북구,27642,86989,0,63,14,3,84,139,74321,3,0,114937,189119
광주 서구,10729,62166,0,143,2,1,43,33,15973,1,1,73119,89059
대구 남구,5189,3206,0,8,0,14,17,24,9897,0,0,8458,18331
대구 달서구,4828,26495,0,35,5,5,88,136,101697,0,3,31595,133156
대구 달성군,998,9179,0,9,5,14,37,24,16186,0,0,10266,26428
대구 동구,6971,12272,1,25,12,27,41,69,40198,1,0,19419,59548
대구 북구,3079,14168,0,34,11,12,67,39,31184,0,2,17412,48557
대구 서구,5392,3065,0,26,3,24,23,11,9393,0,1,8545,17927
대구 수성구,5773,21195,0,28,12,30,52,112,50689,0,3,27205,77782
대구 중구,2530,4271,1,286,6,49,16,27,13457,0,0,7186,20616
대전 대덕구,2602,6924,0,21,1,3,2,43,28249,0,0,9596,37802
대전 동구,4639,7663,0,459,3,5,3,51,32822,0,0,12823,45594
대전 서구,4257,32132,4,56,4,34,1,95,90798,0,0,36583,127286
대전 유성구,1621,15043,0,34,5,10,3,78,61929,0,0,16794,78645
대전 중구,5102,9679,1,434,7,6,1,58,38534,0,0,15288,53764
부산 강서구,280,1272,2,4,7,7,3,4,2599,29,1,1609,4204
부산 금정구,1652,3605,0,20,5,5,7,41,20530,27,1,5363,25852
부산 기장군,283,1303,0,2,2,4,1,12,9919,16,0,1623,11530
부산 남구,1385,3173,0,47,3,17,47,31,21086,33,1,4737,25792
부산 동구,1665,698,2,125,3,14,12,11,3973,16,0,2546,6508
부산 동래구,1028,3276,0,9,11,5,6,31,15506,32,1,4399,19874
부산 부산진구,2268,5473,3,124,7,30,75,75,47058,38,3,8096,55079
부산 북구,538,5469,0,9,1,10,4,9,9671,32,1,6073,15735
부산 사상구,907,3615,1,85,5,4,15,35,26050,19,2,4688,30703
부산 사하구,1744,7710,2,367,0,4,7,108,63020,33,0,9975,72887
부산 서구,2896,1296,0,403,2,6,1,42,8790,13,0,4659,13407
부산 수영구,5505,3052,0,12,4,7,2,43,24695,18,0,8643,33295
부산 연제구,835,2975,0,20,5,6,7,29,18730,23,1,3901,22602
부산 영도구,558,3266,0,28,18,14,2,37,18748,19,0,3942,22653
부산 중구,1183,572,0,52,1,4,3,16,2557,5,1,1837,4378
부산 해운대구,752,8093,1,39,7,37,11,74,64470,35,2,9051,73447
세종 세종시,518,2894,0,8,2,3,2,47,37182,0,0,3474,40609
울산 남구,2121,6685,0,55,11,57,0,44,23659,0,0,8973,32588
울산 동구,1009,4084,0,27,0,26,2,17,16926,4,0,5169,22078
울산 북구,538,5339,0,17,3,21,2,38,26144,3,0,5961,32067
울산 울주군,1927,5210,0,21,6,35,2,29,16950,0,0,7230,24151
울산 중구,1908,3611,1,533,9,51,2,41,19031,2,0,6158,25148
인천 강화군,1688,173,0,8,1,5,0,0,0,0,0,1875,1875
인천 계양구,2320,9723,0,42,4,2,0,22,12420,0,0,12113,24511
인천 남동구,3433,11961,3,70,5,4,1,79,72662,0,0,15556,88139
인천 동구,1071,2090,0,25,2,0,0,11,6490,0,0,3199,9678
인천 미추홀구,4972,7802,1,120,5,3,2,38,26281,1,0,12944,39187
인천 부평구,3152,7855,0,22,4,1,0,31,21895,0,0,11065,32929
인천 서구,3789,14626,0,46,8,44,0,95,59880,0,0,18608,78393
인천 연수구,1679,16910,0,38,4,2,2,35,24043,0,1,18671,42679
인천 옹진군,220,0,0,0,1,1,0,0,0,0,0,222,222
인천 중구,396,1203,0,7,2,0,1,11,6196,0,0,1620,7805
전남 강진군,553,236,0,1,0,2,0,0,0,0,0,792,792
전남 고흥군,1902,60,0,14,3,5,1,0,0,0,1,1986,1986
전남 곡성군,1935,65,0,2,0,3,0,0,0,0,0,2005,2005
전남 광양시,2834,9075,0,81,4,4,9,40,22617,1,0,12048,34625
전남 구례군,504,116,0,1,0,9,0,0,0,0,0,630,630
전남 나주시,1313,1185,0,33,1,3,5,3,1855,0,0,2543,4395
전남 담양군,3800,41,0,11,0,1,0,0,0,0,0,3853,3853
전남 목포시,1584,10532,1,40,0,20,2,14,9752,0,0,12193,21931
전남 무안군,550,735,0,4,0,9,0,1,2,0,0,1299,1300
전남 보성군,2004,212,0,1,0,0,0,0,0,0,0,2217,2217
전남 순천시,3949,19005,0,29,5,17,0,76,35424,0,2,23083,58431
전남 신안군,1146,0,0,0,0,33,0,0,0,0,0,1179,1179
전남 여수시,12034,9064,0,272,2,10,0,72,39064,0,1,21455,60447
전남 영광군,6002,389,0,8,5,3,0,0,0,0,0,6407,6407
전남 영암군,484,455,0,2,0,0,0,1,554,0,0,942,1495
전남 완도군,775,267,0,1,0,11,0,0,0,0,1,1055,1055
전남 장성군,3872,88,0,0,0,1,0,0,0,0,0,3961,3961
전남 장흥군,752,224,0,0,0,2,0,1,318,0,0,979,1296
전남 진도군,5352,146,0,3,0,3,0,0,0,0,0,5504,5504
전남 함평군,776,275,0,0,0,5,0,0,0,0,0,1056,1056
전남 해남군,337,126,0,2,0,1,0,9,1814,0,0,475,2280
전남 화순군,1172,929,0,17,1,0,0,2,392,0,0,2121,2511
전북 고창군,7716,983,0,120,0,113,19,3,856,0,1,8955,9808
전북 군산시,3115,13550,0,433,8,4,12,12,8341,0,0,17134,25463
전북 김제시,10636,1918,0,291,1,67,3,7,3474,0,9,12932,16399
전북 남원시,11347,4698,0,612,4,30,3,10,5639,0,0,16704,22333
전북 무주군,3890,251,0,8,0,10,4,1,303,0,0,4164,4466
전북 부안군,3904,882,0,34,2,8,7,8,3210,0,0,4845,8047
전북 순창군,3589,403,0,39,4,3,5,1,494,0,0,4044,4537
전북 완주군,6409,3912,0,131,0,37,41,5,2983,4,0,10539,13517
전북 익산시,11089,9761,1,485,8,69,27,78,42324,0,1,21519,63765
전북 임실군,4298,366,0,31,1,290,14,2,422,0,0,5002,5422
전북 장수군,4762,276,0,58,0,10,1,2,467,0,0,5109,5574
전북 전주시,7472,32400,10,231,14,26,21,32,21799,2,1,40209,61976
