구분,개별단독,개별아파트(개인),개별아파트(상업),상업개인,상업법인,공공기관,학교,아파트(단지) 가입자수,아파트(단지) 세대수,학교(단지),건물(단지),합계 (가입자수),합계 (세대수)
강원 강릉시,2339,2987,0,19,4,54,0,8,2414,0,0,5411,7817
강원 고성군,2339,116,0,7,0,5,0,0,0,0,0,2467,2467
강원 동해시,395,857,0,5,0,2,0,6,3217,0,0,1265,4476
강원 삼척시,579,1333,0,5,0,5,0,13,5577,0,0,1935,7499
강원 속초시,343,921,0,39,3,6,2,2,435,0,0,1316,1749
강원 양구군,635,381,0,4,0,1,0,5,1502,0,0,1026,2523
강원 양양군,1106,110,0,5,2,0,0,0,0,0,0,1223,1223
강원 영월군,1173,227,0,1,1,175,2,0,0,0,0,1579,1579
강원 원주시,2208,6386,0,16,4,9,1,79,37587,1,2,8706,46214
강원 인제군,1574,262,0,40,2,1,0,0,0,0,0,1879,1879
강원 정선군,725,94,0,0,1,0,0,2,541,0,0,822,1361
강원 철원군,1329,780,0,4,0,3,0,1,332,0,0,2117,2448
강원 춘천시,902,3049,0,12,8,4,0,31,19934,0,1,4007,23910
강원 태백시,334,767,0,5,2,10,0,16,5787,0,1,1135,6906
강원 평창군,5012,44,0,2,0,2,0,2,1139,0,0,5062,6199
강원 홍천군,380,387,0,6,1,1,1,3,1830,0,0,779,2606
강원 화천군,360,160,0,7,1,1,0,0,0,0,0,529,529
강원 횡성군,1141,521,0,9,3,3,0,5,1273,0,0,1682,2950
경기 가평군,1753,362,0,3,0,3,0,5,1023,0,0,2126,3144
경기 고양시,1694,16301,1,17,9,3,62,49,42423,0,0,18136,60510
경기 과천시,1024,1984,0,5,0,0,0,7,8381,0,1,3021,11395
경기 광명시,521,2166,0,13,3,3,19,23,28146,0,0,2748,30871
경기 광주시,1667,1506,1,21,0,8,3,23,9266,0,0,3229,12472
경기 구리시,329,1464,0,6,3,1,2,24,14416,4,0,1833,16225
경기 군포시,244,1496,1,7,5,1,0,27,20576,0,0,1781,22330
경기 김포시,892,4529,0,4,1,1,4,30,23272,0,1,5462,28704
경기 남양주시,1477,6845,22,23,4,24,33,15,9361,2,0,8445,17791
경기 동두천시,316,1227,0,3,1,4,0,2,772,0,0,1553,2323
경기 부천시,2641,5505,0,62,8,27,6,30,23264,2,0,8281,31515
경기 성남시,2605,8210,6,64,4,5,0,96,92673,39,3,11032,103609
경기 수원시,9631,22619,0,487,16,29,133,57,43183,6,7,32985,76111
경기 시흥시,367,1862,0,16,5,33,4,37,22851,1,0,2325,25139
경기 안산시,12943,22898,0,10,1,5,7,54,44864,23,23,35964,80774
경기 안성시,298,2137,0,6,4,0,1,13,7052,0,0,2459,9498
경기 안양시,2383,10008,0,85,11,61,1,35,23518,0,1,12585,36068
경기 양주시,626,1845,0,7,1,3,9,47,26602,3,1,2542,29097
경기 양평군,3373,1020,0,18,0,6,1,4,1050,0,0,4422,5468
경기 여주시,533,723,0,3,0,0,1,3,1753,4,0,1267,3017
경기 연천군,135,93,0,3,2,3,1,4,968,0,0,241,1205
경기 오산시,346,3249,0,7,0,2,10,12,11835,1,0,3627,15450
경기 용인시,1399,11114,2,31,10,5,2,149,85216,25,6,12743,97810
경기 의왕시,221,1526,0,6,2,1,0,6,2941,0,0,1762,4697
경기 의정부시,880,3261,0,9,2,1,0,27,12485,0,0,4180,16638
경기 이천시,1874,3185,0,79,18,19,4,11,4476,1,3,5194,9659
경기 파주시,5069,18890,0,84,44,13,4,36,37175,1,2,24143,61282
경기 평택시,512,2000,0,22,6,5,0,32,20886,2,0,2579,23433
경기 포천시,335,462,0,8,4,1,3,4,979,1,0,818,1793
경기 하남시,183,2077,0,2,1,0,0,9,8373,0,0,2272,10636
경기 화성시,420,3478,0,11,9,1,42,83,56147,6,2,4052,60116
경남 거제시,1249,4731,0,159,1,11,7,62,33253,5,1,6226,39417
경남 거창군,2239,1095,0,114,6,23,0,12,1369,0,0,3489,4846
경남 고성군,704,278,0,44,1,0,0,11,2311,0,0,1038,3338
경남 김해시,2394,28307,3,30,7,4,11,219,132569,0,0,30975,163325
경남 남해군,4103,343,0,42,0,4,0,6,934,0,0,4498,5426
경남 밀양시,6272,2232,0,20,4,8,0,18,7636,0,0,8554,16172
경남 사천시,911,1150,1,12,2,6,0,29,6254,0,0,2111,8336
경남 산청군,3092,60,0,19,0,0,0,3,401,0,0,3174,3572
경남 양산시,478,3590,0,10,6,10,1,26,21560,0,1,4122,25656
경남 의령군,3073,136,0,1,0,1,0,1,283,0,0,3212,3494
경남 진주시,1920,4594,27,122,5,4,14,64,35044,7,0,6757,41737
경남 창녕군,917,67,0,2,1,0,0,6,525,0,0,993,1512
경남 창원시 마산합포구,4895,11338,1,13,4,4,0,17,9546,0,0,16272,25801
경남 창원시 마산회원구,4121,10793,0,15,7,0,2,19,8366,0,1,14958,23305
경남 창원시 성산구,2297,24324,0,34,8,5,2,21,17743,0,1,26692,44414
경남 창원시 의창구,6303,15503,0,71,9,2,2,19,13467,0,0,21909,35357
경남 창원시 진해구,3437,14248,1,23,3,3,3,17,8550,0,0,17735,26268
경남 통영시,2493,2987,0,22,6,0,6,25,8651,0,0,5539,14165
경남 하동군,4424,133,0,3,0,1,0,2,593,0,0,4563,5154
경남 함안군,1094,831,0,2,2,1,0,6,4295,0,0,1936,6225
경남 함양군,2240,160,0,3,6,2,0,7,1484,0,0,2418,3895
경남 합천군,4273,70,0,5,3,5,7,0,0,16,1,4380,4380
경북 경산시,746,2610,0,10,6,4,1,17,11583,0,0,3394,14960
경북 경주시,1189,1093,0,9,3,7,1,24,11972,0,1,2327,14275
경북 고령군,1221,307,0,4,9,1,0,3,1260,0,0,1545,2802
경북 구미시,5120,20073,1,12,0,10,24,89,55992,2,2,25333,81236
경북 군위군,738,29,0,0,2,1,0,1,296,0,0,771,1066
경북 김천시,2587,1833,0,9,2,9,0,2,1532,0,2,4444,5974
경북 문경시,1237,867,0,8,6,4,1,3,970,0,0,2126,3093
경북 봉화군,1617,166,0,3,3,38,0,0,0,0,0,1827,1827
경북 상주시,8548,648,0,4,4,30,0,21,6009,0,2,9257,15245
경북 성주군,4236,260,0,3,0,0,1,2,290,2,0,4504,4792
경북 안동시,2618,2849,0,9,3,3,4,19,8406,0,1,5506,13893
경북 영덕군,1485,25,0,0,1,3,0,4,347,0,0,1518,1861
경북 영양군,956,64,0,0,1,1,0,1,200,0,0,1023,1222
경북 영주시,2698,1858,0,8,3,5,2,17,10927,0,0,4591,15501
경북 영천시,4537,1983,0,15,7,6,0,4,1961,0,1,6553,8510
경북 예천군,7149,120,0,1,2,7,0,5,2361,0,0,7284,9640
경북 울릉군,131,1,0,1,0,0,0,0,0,0,0,133,133
경북 울진군,441,51,0,2,0,1,0,1,285,0,0,496,780
경북 의성군,991,120,0,10,3,112,4,4,871,0,0,1244,2111
경북 청도군,2036,43,0,2,1,4,0,2,294,0,0,2088,2380
경북 청송군,2161,73,0,0,1,2,0,0,0,0,0,2237,2237
경북 칠곡군,844,1880,0,83,18,3,0,7,4151,0,0,2835,6979
경북 포항시,7040,18202,0,292,22,0,56,73,38588,0,1,25686,64201
광주 광산구,15409,66134,1,152,5,1,71,81,54992,0,3,81857,136768
광주 남구,14963,40793,0,104,9,1,36,106,41712,0,0,56012,97618
광주 동구,15594,11867,0,38,1,1,16,16,7403,0,0,27533,34920
광주 북구,27685,87449,0,70,14,3,84,223,114648,4,0,115532,229957
광주 서구,10808,62702,0,143,2,1,43,142,75434,1,1,73843,149135
대구 남구,5530,3455,0,8,0,15,17,25,10196,0,0,9050,19221
대구 달서구,5072,27562,0,44,6,5,88,138,103514,0,3,32918,136294
대구 달성군,1077,9513,0,11,5,14,37,26,17552,0,0,10683,28209
대구 동구,7167,12713,1,26,13,28,41,69,40198,1,0,20059,60188
대구 북구,3071,14670,0,37,11,12,67,40,32290,0,2,17910,50160
대구 서구,5540,3181,0,26,3,24,23,11,9393,0,1,8809,18191
대구 수성구,6141,21843,0,30,13,30,52,160,74012,0,3,28272,102124
대구 중구,2569,4388,1,287,6,48,16,27,13457,0,0,7342,20772
대전 대덕구,2762,7382,0,22,1,3,2,43,28249,0,0,10215,38421
대전 동구,4705,7803,0,459,4,5,3,52,33458,0,0,13031,46437
대전 서구,4425,33144,4,61,4,36,1,104,97020,1,0,37780,134696
대전 유성구,1664,15480,0,34,5,10,3,80,63131,0,0,17276,80327
대전 중구,5318,10067,1,438,7,6,1,59,39287,0,1,15898,55126
부산 강서구,277,1346,2,4,7,7,3,4,2599,29,1,1680,4275
부산 금정구,1681,3754,0,20,5,5,7,41,20530,27,1,5541,26030
부산 기장군,295,1383,0,2,2,4,1,12,9919,16,0,1715,11622
부산 남구,1406,3273,0,52,3,17,47,31,21086,33,0,4862,25917
부산 동구,1679,726,2,125,3,14,12,11,3973,16,0,2588,6550
부산 동래구,1055,3375,0,9,11,5,6,31,15506,32,1,4525,20000
부산 부산진구,2271,5607,3,125,8,30,75,75,47058,38,3,8235,55218
부산 북구,548,5702,0,10,2,10,4,10,9903,32,1,6319,16212
부산 사상구,921,3665,1,85,6,4,15,38,27986,20,2,4757,32705
