"행정구역(시군구)별",2021. 07,2021. 07,2021. 07,2021. 08,2021. 08,2021. 08,2021. 09,2021. 09,2021. 09
"행정구역(시군구)별",총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명)
"전국",51671569,25768310,25903259,51669716,25766031,25903685,51667688,25763891,25903797
"서울특별시",9558153,4645177,4912976,9550227,4640740,4909487,9542256,4636069,4906187
"부산광역시",3361781,1645794,1715987,3359527,1644378,1715149,3358763,1643690,1715073
"대구광역시",2395749,1181351,1214398,2393626,1180223,1213403,2392787,1179640,1213147
"인천광역시",2937440,1470985,1466455,2938429,1471347,1467082,2941795,1472963,1468832
"광주광역시",1442482,713626,728856,1441970,713286,728684,1442827,713666,729161
"대전광역시",1455300,726281,729019,1454679,725956,728723,1455058,726142,728916
"울산광역시",1125727,578511,547216,1124459,577806,546653,1123236,577093,546143
"세종특별자치시",364364,181996,182368,365309,182430,182879,366560,183044,183516
"경기도",13512867,6801008,6711859,13530519,6810105,6720414,13542284,6816449,6725835
"강원도",1536140,773232,762908,1536270,773260,763010,1536765,773495,763270
"충청북도",1597501,810258,787243,1597179,810095,787084,1596765,809981,786784
"충청남도",2118205,1082654,1035551,2118183,1082664,1035519,2118098,1082596,1035502
"전라북도",1793902,892487,901415,1792476,891776,900700,1791110,891073,900037
"전라남도",1839698,925751,913947,1838353,924912,913441,1835690,923651,912039
"경상북도",2631649,1326218,1305431,2630254,1325354,1304900,2628344,1324322,1304022
"경상남도",3324735,1674003,1650732,3322373,1672737,1649636,3319271,1671042,1648229
"제주특별자치도",675876,338978,336898,675883,338962,336921,676079,338975,337104
